FIPS,EventRootCode,AverageTone
SU,14,-4.3410012964516786
FJ,14,-2.1462527481634726
CD,19,-5.0297523015793688
BU,15,-1.9748377719184949
BB,14,-3.1739121937115753
LG,19,-4.2838603313445773
SU,15,-3.2988370520632415
BL,06,-1.4373387789040848
SM,05,1.5357365919227359
NE,14,-4.8866419222209219
AR,06,-1.320146020338224
SW,05,-0.68064858738602385
KU,19,-5.5260135364652081
OS,19,-3.2090791419724662
IR,14,-6.0410371306773047
TV,19,-6.0337651499500193
LU,19,-5.293574100592914
US,15,-3.4650941876775292
BU,05,-0.25074719187348843
AR,14,-3.5485351499319013
CF,06,-1.6425641601614944
IS,15,-3.3795163602632434
CS,19,-4.39477698693574
NU,05,0.72545330825383536
AQ,19,1.5625
NO,14,-4.6041831443958081
SL,06,-1.2610066913306226
EG,15,-3.0958119086574554
SN,15,-3.1705635949395878
PK,05,-0.73102284998281752
UP,06,-1.5813777565172873
GV,14,-2.8690309594730405
LT,14,-1.3205251255082651
CB,19,-4.7988631005767459
IN,15,-3.3354253529765052
SE,05,1.6340564846361
KS,06,-0.83265101926194429
GI,14,-2.7860928916290644
FO,14,1.8716577540107
MI,19,-5.2226949107096479
MU,15,-3.2476910912124697
IT,05,0.48396593140417882
AV,06,2.0919093458007496
TX,06,1.8074749218446717
JA,14,-3.7073195564734025
GH,14,-3.7642342045590129
QA,19,-6.3844446366547905
IS,06,-2.5983760622720178
GT,15,-3.4587239280989439
JE,14,-4.6182577808658971
WE,19,-9.375
CV,06,-0.047985600952967396
MP,14,-3.0713742616819739
NG,15,-1.9057121316778798
CJ,19,-4.4377950464368219
NC,15,-2.2066859751161996
UK,05,-0.45236782926622709
JM,19,-5.0035290840200171
GB,19,-3.6342593887783212
RW,05,0.72303404425562035
SA,14,-4.5499678117877513
NG,19,-3.8356989667194106
MC,05,-0.25103602403383929
ET,05,0.090338698282014282
VE,06,-1.0792179939936493
CG,06,-1.4102429219221166
TU,19,-5.6148182445968038
IC,19,-2.71591422117819
UZ,15,-1.7166040935647817
TS,05,-0.31172512729029639
EI,06,-1.2429591189104479
CO,15,-3.2140342663584898
BN,15,-1.5720306048449084
RW,14,-3.485046471318495
ML,05,0.018049020560137977
TI,15,-1.7998585632161352
TU,05,0.64146940221872006
LE,05,-1.168101898980092
BB,19,-4.5833765387273884
LU,15,-3.7976123181652381
VC,05,2.9068024947510058
AU,19,-5.8071481747967013
WZ,19,-4.0518100619499418
MB,14,-2.3795280091347011
LI,19,-4.3586755416755931
LS,06,0.09188202158073365
TW,15,-2.82600010293644
UK,15,-3.1961094243406052
FR,14,-3.9464758796639092
ET,15,-3.0071931077212981
EZ,05,-1.0942391453956017
MY,06,-1.68461161869744
KG,14,-3.0909726568135705
AO,06,-0.26127945897653088
CT,14,-3.1751716720124885
LS,14,-5.3190828654075206
EG,19,-5.575911283526386
VT,19,-4.77917995686392
AR,05,-0.49112374425276134
HR,05,0.24762852884410363
BL,05,-0.71835511505046445
KG,06,-0.56980667323123313
TD,14,-2.966135151171593
PM,06,-1.3955932911802631
RQ,06,-1.3032066146080503
JA,05,-1.036686266398182
CW,05,2.3316638362176429
WA,15,-3.4116195474677147
AG,19,-4.9827033849475075
VC,15,2.0292581908843395
KU,05,0.5855358520769991
HO,14,-3.8362515223677573
CO,06,-1.47454934107093
DA,19,-4.3574686302632939
TI,19,-5.2787447068001754
BA,15,-2.5662018317956878
KN,05,-1.8533691485557109
ML,14,-2.7019366433994687
TX,05,4.02854805061672
PL,06,-0.91893968070605314
IM,05,1.2777561350263233
PC,19,-4.5221678866406281
CS,14,-3.9917020398972949
IO,15,-2.7388590973767704
MK,19,-5.0860531997090082
HK,06,-1.5835146773388149
GG,15,-0.836960130102914
JE,06,-2.56275126177673
SA,15,-3.2502785665796279
BR,06,-0.86724680933188414
VQ,06,-1.3447616810358545
UP,15,-2.2836242714945651
MN,14,-2.0135029207288819
MD,19,-4.1150785306189164
AQ,05,0.63652360142580511
BY,19,-4.8694983815619262
MK,15,-1.8385492408753836
ET,14,-4.8992722540300493
WZ,05,1.6735825292213831
NU,15,-2.6670426271435708
NI,06,-1.5041125269021127
FM,06,3.8231970461588789
AE,15,-3.1552260357326576
LA,15,-4.3553815760591226
TH,15,-3.4268139276206453
JM,06,-0.54295291669227475
CJ,15,-0.66653347374562422
SZ,05,-1.7361515771977045
CH,14,-3.6097505661142217
QA,14,-5.3068924152412231
SF,05,-1.1919758291274052
AA,05,2.6171622400842756
BM,05,-0.61260613061409874
BY,14,-3.9101364249584449
AS,14,-3.393774735225759
GJ,19,-3.0922425561786344
VT,05,0.68054064317745622
SP,05,-0.32654004100930589
AM,06,-0.89422593843420151
IN,05,-0.35094381767682764
FP,06,-0.45387115506383924
CA,19,-4.9581774456629129
ER,14,-3.0444453796752624
BG,15,-3.4902191480204454
UV,05,0.63625199315457692
UK,19,-4.84747803897741
SU,05,-1.0132841937525343
IR,19,-5.7526681545071812
PO,05,0.1168916224105398
BL,15,-2.9251303666496926
ID,19,-6.0267741589774273
UG,05,-0.69545565800440856
AG,14,-3.6683545561790547
PO,14,-3.6444755325975193
FR,05,-1.4792755054748481
NL,05,-0.51876075387574616
ZI,15,-3.478160088561296
LY,14,-4.4861830286206041
RB,14,-3.8900033495002693
GH,05,0.80123315570667464
BB,15,-2.5156750616262955
CN,05,0.62471273133679173
CH,19,-5.4687000549934526
RE,05,-1.4959169428917198
KS,05,0.14824451181362788
GY,15,-2.8664546103575295
CJ,14,-1.2331651359869213
SL,15,-2.2952311264333263
KZ,14,-2.6673129916058698
CM,19,-5.9128412131051986
DR,14,-3.5689916430983017
KE,15,-4.03418075444623
MU,05,0.78959643894996956
RB,15,-1.9081466350521346
TZ,05,0.64135990444936275
SM,06,-0.023987502312007067
DR,06,-1.0393388828378876
SY,14,-4.7853282032903879
KN,15,-3.1890791402216672
PP,06,-1.5393671934817998
TX,14,1.7378437753395735
SY,05,-1.4258299454910284
MY,19,-5.8322468236358782
IO,05,-0.23098886776756072
NO,15,-3.1987547001673362
TD,06,-1.1641160765537504
BM,06,-1.5059162849771242
KG,15,-2.0489988530534418
IM,06,-0.66507654995668009
MB,05,-1.1819659464036385
HR,14,-4.1049693674453787
MU,19,-5.5046366600637047
AO,19,-4.7541505820914338
GY,06,-1.6422288425644593
BN,06,-0.54039383656742479
LO,19,-5.7515720408037057
SM,15,-1.6212510134237466
LO,15,-2.4750938341421058
LA,14,-3.9622788660587474
IT,06,-0.63866347798069389
HO,06,-1.4784019194942115
NO,19,-5.768208162995025
AV,15,1.0291247256752847
HK,15,-3.9032286939363332
OC,19,-0.94059307794866509
AA,14,0.16870735208036991
SX,05,0.91922524693704177
IV,15,-3.1929020504880983
SW,19,-5.4663783311987277
TV,06,-2.4962687057598405
WA,14,-3.4619685879743782
SN,14,-3.912479145501031
SE,06,-0.11316415405846267
MC,15,-3.7614460519389539
WS,06,-1.0475401735337868
CG,15,-2.8209813909714851
PM,19,-4.613472239220628
KU,15,-3.6064337989988915
IC,14,-2.0585071976249059
CI,06,-1.6710729148327235
NP,05,-0.28544197974708613
MO,15,-2.8528116078617738
DJ,14,2.1203168091945224
AF,06,-2.2084471661329625
SO,15,-3.2752581532524587
GG,06,0.61649611257861059
PP,05,0.739001804492308
MV,06,-1.9285363511056897
NZ,06,-1.0221299451248509
SA,05,1.354068200803539
MP,05,-0.642535061033512
CN,06,0.12004226813971856
MG,19,-2.1672631650747105
QA,05,0.059144279464323282
CE,19,-4.9163812068084125
BU,14,-3.0226594735932628
RB,19,-4.9292515823602585
RQ,19,-4.4723708933635091
CW,15,1.448670274982663
SI,14,-3.9319781627804637
ST,15,-0.73263379560520236
UY,15,-3.3521477681656391
PL,05,0.15801418603826381
AC,14,-2.8748418158418865
ES,14,-3.9072724586833059
SL,19,-4.690420145234528
VQ,19,-4.3411818978528762
GB,06,-0.55934063775247123
AS,15,-3.1908974780813155
ES,15,-3.0468762031944627
MG,15,-0.44704826425286914
PA,15,-3.0996745738864164
BD,14,-0.64810721503278956
CS,06,-1.3758676961976477
MJ,19,-4.0325809573228337
MX,05,-0.094994870917988389
CN,19,-1.69377704782893
PU,19,-5.9818425225880967
ZA,14,-2.1310228416033086
TV,05,-1.0461480922429032
NL,19,-4.4706320191313109
BL,19,-4.612712190505321
OS,14,1.3745767277204848
BX,06,-0.895267577965748
CO,19,-5.2490190574040412
TD,05,0.88625745967165936
TH,19,-5.5961157879473413
LG,05,0.096823873550958325
LI,05,1.6410086926908323
CN,14,-1.0830933319442144
SX,06,0.18315355159928098
AV,19,-1.5100638136652504
MP,19,-4.9438479499125219
EN,19,-3.8422205150856641
AJ,14,-3.21897772837941
TH,06,-1.4105637101339437
BR,19,-4.8718536752431865
VM,05,2.1755587269333216
CH,06,-0.464868378522821
SM,14,-3.7014147295238291
MF,14,-2.3515119316575759
MJ,05,0.3000259032853751
BX,14,-4.3820208611859295
CM,05,-1.1219710042641793
CB,06,-1.2903033348981079
GB,15,-1.7888231036613675
AJ,06,-0.657522807847693
CV,05,0.796749567437985
CW,14,0.047539019718277044
JO,06,-1.0375297735232645
MF,05,-0.66309481584420871
JO,05,0.10087452032337339
MT,15,-3.582381499873275
MB,06,-1.442788672618075
AO,15,-2.7325657735066198
BM,15,-3.309136009521473
CK,05,-0.93397333356645151
LY,15,-3.5071586811527715
SI,06,-1.0347152357016796
BM,14,-4.1105713484077713
MT,06,-1.5190828457289633
NS,15,-2.2223332586419677
UY,06,-1.0614467592785155
EZ,15,-2.6614581723725284
RP,15,-2.8842621267477417
PO,19,-4.5219281453958491
NI,19,-5.3642876955442791
SF,15,-4.1018047387809622
DO,15,0.028250584835949381
BX,19,-5.6419835581558813
CM,06,-2.0280131356054492
RE,19,-5.3052944215632332
LE,14,-4.4345674056803608
AV,05,3.0390923759837625
HA,19,-3.9871314278265513
TW,06,-1.99902489320555
AM,19,-4.2940007729745258
GJ,06,1.1909386058753872
IT,14,-3.1168890920774333
MT,19,-5.2329059593273959
BH,15,-2.0583655853057587
AN,05,1.2773130930590686
IS,14,-6.42812461210114
MN,15,-3.3530427868720016
JA,15,-2.7216792482151511
UG,19,-5.7250397536512381
MK,14,-3.9280840382431759
TT,05,1.6954084056393877
MJ,14,-3.2701452984695196
FI,14,-4.0744324043111355
CI,15,-3.2991757299164197
CB,14,-3.9922146592861307
CF,15,-3.3514557299643628
CU,19,-4.3200418369430977
RO,14,-3.1412336241327909
NE,19,-5.4628858871116073
LT,05,0.50497674191587028
KV,06,-1.7202898924268253
HK,05,-0.63178610607699792
MT,05,-0.16406024413865911
BA,14,-3.5177371052275968
NZ,15,-2.6315373895387517
ML,06,-1.252620490696815
CE,06,-0.68037639908377934
ZI,14,-4.1232800195545023
BK,15,-2.4286163522781261
SG,05,-0.278284431205463
EC,06,-1.1718778508500796
AJ,15,-2.114436294622664
MZ,19,-4.8500861751472018
ES,19,-5.1597928561963258
VE,14,-3.3367627571871719
GK,19,-5.1888222100988068
LH,06,-1.3767272864142113
CB,05,-0.218923104756407
TW,14,-4.0516744195535308
CS,15,-2.8047679188397869
LS,15,-6.38686131386861
CD,14,-4.0934951305114948
VE,15,-2.2982770505128189
PC,06,-2.6922485696821172
EN,15,-1.1050058998607266
NC,06,-0.573757222642968
LS,19,-4.2685509367521188
ID,06,-1.1885547281546325
TS,15,-3.2370050701884523
SF,19,-5.862873328232201
GI,06,0.30643020920506459
OD,19,-5.80583756551197
OS,06,0.96299250060666786
JE,15,-3.6333769891085139
LE,15,-3.3359833249904116
MA,14,-1.7788157664310991
LU,06,-1.5952207121001585
LO,14,-3.8170169116604464
SC,14,-1.2973122426889911
MD,14,-2.7726112435984382
SH,19,0.20506645981862687
SE,15,-2.5680978969493147
CG,19,-4.4765614357938235
DO,14,-0.66556518074952209
IM,14,-2.1699332362852277
AG,06,-1.3962653157968361
SE,14,-2.6838721335823514
GL,05,0.23298687598697018
NP,06,-1.0966461436895367
RI,05,1.4635272465715228
US,19,-5.3209959075603512
IT,15,-2.1657714615442778
NC,19,-2.7890723554192838
SF,06,-1.7060341257739755
CY,19,-4.6079550407567726
PL,14,-2.529080604278986
TS,14,-3.2967752367017682
MH,14,-1.6401153460103592
SI,19,-5.1842387361801832
RW,15,-2.0032323773258263
GY,14,-3.8161455630388916
AF,05,-0.89678281423783812
GM,15,-3.577096033057297
MH,19,-4.3733071263546552
SG,14,-3.0367818184241613
MA,15,-2.5396073927909035
VQ,14,-1.5496940225061007
KV,14,-4.562136707310013
SX,14,-0.013305990864278111
CD,15,-2.4667477639300772
AM,14,-3.5189594296612183
AE,19,-5.4007330265211939
TT,19,-1.273335875079481
AA,19,0.93311451505658694
JM,14,-3.4787396874182872
GR,19,-4.3571380808253073
SO,14,-4.523133287936238
HO,19,-4.8047730992252653
SW,15,-1.9000292725238559
JA,06,-1.4449527922747729
VQ,15,-2.6283869498875192
BT,05,2.290840005406094
GQ,19,-4.6199440142694259
IN,19,-5.79045222480623
CV,14,-2.9200151747591332
PC,14,-3.7175028742072804
PE,14,-3.7981020349166661
GG,14,-2.7400099966873834
SP,19,-4.133309123198071
GH,15,-3.8138979243707678
GA,14,-2.9161462470287991
PU,14,-5.1991663437033706
MO,05,-0.15681727758010791
BT,19,-3.0263027089727355
LY,19,-5.689895317070734
TX,19,-0.91024412163703849
WS,14,-3.368710567436259
HK,14,-4.5395383248174372
NG,14,-2.0817142921398353
PP,15,-2.8664598594408521
MD,06,-0.523154828297414
IR,06,-2.1643529680824662
KS,14,-3.1959311856473929
SX,19,0.91004572181233134
NI,14,-3.6195520374944943
PM,15,-3.2038019916227465
SM,19,-4.1385658442461946
RI,19,-5.0832442804868831
IV,06,-0.63166457913504481
SY,19,-5.42467064806882
PE,06,-1.2655451887545983
IN,14,-4.5879162625434464
AU,15,-4.2252700093312034
AS,19,-4.3871501678111064
UV,14,-1.9714453751207008
LY,05,-0.0010794718249181523
FJ,19,-4.2790648190331231
HR,19,-5.5521348671427635
GQ,14,-2.5347921139366969
CS,05,-0.643950180558312
GG,19,-4.4771090223141643
BG,06,-1.8616106922058366
GL,14,-0.78332579970609373
VM,15,-1.6394605953156038
RI,06,0.020059598238521912
BF,06,-0.52866067391215477
UP,05,-0.37530029334018944
VI,14,-1.7563948363617465
GG,05,1.4626747796042168
CA,05,-0.83459515980102883
DR,05,0.41505681550742135
FR,19,-5.2695874272224188
GR,15,-2.5207086765485367
TZ,14,-2.5343211004845148
LO,05,-0.55477979097539454
IN,06,-1.6000976599101493
LA,06,2.0410489164622589
TK,05,1.1708396481683085
ZI,05,-0.582886553334417
PP,14,-3.2287840651748017
SN,19,-5.2479292929563952
ID,15,-2.9068821639037155
SL,05,0.2610254157716187
MX,15,-3.003536074229201
ZI,19,-4.5788482760217253
CF,19,-4.9087627013121136
CU,14,-3.9235189375264174
NC,14,-0.99500822084142215
UV,06,-0.18768731882612094
LE,06,-2.5031135487955081
CA,06,-1.8439524898817279
DJ,05,2.4472043249064206
MR,19,-4.6651934824010146
VM,06,0.43235638106918578
CE,14,-3.8823838872422991
NE,05,-0.956448135088334
PK,06,-1.5818260918406601
NU,14,-3.9541163004077089
AS,06,-1.5478773383071651
TV,14,-4.8819763475959865
MA,06,-0.64812738397659786
TO,06,-1.3569620328006406
BR,05,-0.46231096951898587
TL,06,1.87891440501044
LO,06,-1.8644086986484325
NS,06,-0.77790189387432418
SZ,15,-3.8379761301651234
BT,06,0.10039785481363071
AV,14,2.83190290891902
CK,15,-2.8681059137150822
SP,14,-3.1043210817992284
SC,05,2.5671146023722509
AL,14,-4.5025687786487723
QA,15,-4.5291941974835073
CU,06,-1.3246795387635888
DO,06,2.1686801792601318
AJ,05,0.69030548643805179
JO,15,-3.266473728332719
ES,05,-0.24053062750089771
IO,14,-3.3531311895053055
MN,06,-1.4799278452076252
MV,05,-1.3100855361564476
UZ,19,-3.58694146145426
WS,05,0.26531375086236142
NE,15,-1.7938347707796936
BO,05,0.550905400966766
CG,05,-0.44752547131134446
BF,05,1.131962730824378
ST,19,-4.9838304677346
PU,15,-4.54545454545454
SH,06,-0.40985694580256954
MK,06,-0.88226805344632608
JE,19,-5.0726459914235971
NO,05,-1.1154566421045631
TT,06,1.1954095350276759
GQ,15,-1.6607409515882054
BY,06,-2.2004106249588737
TH,05,-0.68749188287297436
RI,15,-1.251012668876949
LG,15,-1.5023216567492808
