FIPS,AverageTone
IT,-1.2266319517342155
WA,-2.1564389385620708
CM,-2.9449712401336963
ML,-1.4626035850125303
MG,-0.24210924465101621
PK,-2.9042192814547048
GH,-1.9078195733342607
KZ,-1.2593573700554748
BM,-2.257738120596255
IN,-2.6352216561258954
MI,-2.1356432264451626
AV,1.6529235384892216
LT,-1.7559838499012681
GB,-0.75436355420488421
UK,-2.4232246650674325
AU,-2.9686971461863192
CK,-2.7693001028740176
RS,-2.3112888288017395
TW,-2.4235868152902853
RI,-1.003833159575332
WS,-1.7177606103261904
BG,-2.9303584631885591
IC,-1.2405035568072245
CJ,-1.1933684665232716
ET,-1.9656552792650066
UP,-2.5247656466737345
BK,-1.9279534751097076
VC,0.82222774541099541
LO,-2.9358123623490382
YM,-2.6141878198056943
NC,-0.48320284765848726
CN,-0.46697047902956923
TI,-1.2199398653589206
MY,-2.9626637300205414
AJ,-1.2352268807033029
GP,-4.0582459486498861
GQ,-2.2275888266717896
OD,-2.2615190239864114
MF,-2.1392450489167207
IR,-3.1954825373099536
JA,-2.2139315551976626
MN,-2.60837067490022
CG,-1.8945775770225617
SO,-2.79394946502886
JM,-1.5493930010543062
MV,-3.9413683350678697
TV,-3.2891200678203787
EG,-1.685980880440699
IV,-1.1246798334326824
MT,-2.3129344448967051
KG,-1.2817662154861369
NG,-0.4688390608734847
EI,-2.3744455073499697
SL,-1.34613313762143
PC,-3.3553668756034676
UY,-1.939862951572086
BH,-1.7464947621661797
RE,-3.1353139552643543
WE,-5.5143758397965392
BU,-1.6351139182659724
AG,-2.0451127493469032
AR,-1.9647474203964272
GL,-0.45266829847513362
DO,1.729879622627021
HA,-1.479633729392126
GG,-0.10829954134959573
IO,-1.423409010218748
LU,-2.3045325961526339
ID,-1.6811924979669366
PE,-2.0523867106391256
AN,0.12682922990662204
AO,-1.0265577390137042
MA,-1.0608276870887314
LA,-0.19993609594632467
KU,-1.7912684717773508
TL,1.1506188763670522
AL,-1.8432969470513638
MH,-1.0240052189045818
VE,-1.7572064847218896
TT,0.45604489783313795
TN,0.53122729253779788
NZ,-1.8890382790302604
CE,-1.77403580144642
CT,-2.2558893158460251
BN,-0.65905511901684088
CW,0.69417146785325756
FO,0.65626572814438866
PO,-1.4891181276962762
LH,-1.8331389039306138
EN,-1.1317863425916102
RO,-1.8068295556897993
GA,-0.85539574305293176
AE,-0.64846774307344324
CI,-2.2768570443443603
VM,0.35739976123197864
VT,-0.91036162693288791
NS,-1.7582173230731568
BO,-1.1977933811805526
ST,-0.61952379250791523
WZ,-1.069831339907712
OS,0.77155783576995529
BF,-1.0639090946851724
CF,-2.3127179765306418
KV,-1.603247013205082
PM,-2.0818889029116319
SG,-1.9528049592767753
TZ,-1.2119340850681863
FM,3.6416185571509803
UG,-2.8092538840991175
MP,-2.1166620730375234
LG,-1.499927760545557
MU,-2.02388270168392
CV,-0.65415658767167473
PA,-2.1983742032982634
TX,2.3114487326280964
BD,-0.33712477285356895
IS,-3.2746329497242104
GT,-2.5488468063125174
MX,-1.827249039927032
JO,-1.8393523629646151
MB,-2.034995428728398
BL,-2.2226520832379828
GM,-2.6709153850271514
CY,-1.5909557880025504
KE,-2.9403277850825176
SI,-1.8948681784944514
AF,-3.3747546380792466
FI,-2.3810840048373754
BA,-0.46542846297185619
NL,-2.29540970152249
TK,-2.524086161225453
CA,-2.6606154985471142
QA,-2.851339201512193
TD,-1.7861053603269597
TS,-2.0642925988799843
GY,-2.6527048780145215
SN,-2.3737468921350655
UV,-0.16821009007330029
CH,-1.0294515042648327
DA,-2.7634284587052242
AM,-1.5283949761878093
BT,0.22679191088530237
EZ,-2.2214385108727219
NO,-3.1473854489862467
GJ,0.8427981293276855
GI,-0.16708013782659975
MD,-1.604481220854403
DR,-1.6207508536761996
PL,-1.5724025251591409
DJ,1.3970082094671217
TO,-1.5021040905096377
MO,-1.6638204499293652
SE,-0.71555477474829188
PU,-1.0453183901158576
NU,-1.5755822005876023
CB,-2.2756402000805656
MR,-1.651405759535076
ZI,-2.4861387957410939
LE,-2.8084061456548803
OC,-0.68443439849475
GV,-1.3225049914684139
IM,-0.83641950224190431
SU,-2.3544819352904964
KN,-2.7371802107017023
BC,-1.5137847758605762
UZ,-0.65655054042951755
ER,-1.3875671894323629
HO,-2.15688149211747
JE,-3.0112788863722484
RW,-1.2915818882296679
AQ,0.61659086930836926
TP,0.37970897044807639
CU,-1.6422803716820364
EC,-1.84979623828481
NI,-2.2413622694879
IZ,-2.5627975363825839
LY,-2.0645874702450886
SP,-1.673304064340714
GK,-3.7755738690564078
LI,-0.52327114697700317
SZ,-3.2461954309688945
HR,-1.8062277685616028
AC,-1.1485452860164984
VI,-1.5595066387994405
VQ,-1.8445267049917105
TU,-2.2505250335284703
BX,-2.0209630170311086
CD,-2.2865662940669567
RQ,-1.7985417935628838
SH,1.3984307017657882
TH,-2.8035259185820975
AS,-2.37122344772281
SC,0.23036144604992576
NE,-3.2930689951270371
FP,-1.1319250464475248
SY,-3.1312834770936946
US,-2.945566702982088
SA,-1.510449226766281
HU,-1.5536882419921674
FR,-2.9732318352339862
HK,-2.6938865362230078
ZA,-0.70912704383611069
RP,-2.3805647827483787
FJ,-0.2909550946483207
CO,-1.9532976991529369
BB,-1.4756389049256402
BP,0.43774593779025645
RB,-1.7765732867558528
AA,1.7243667577498933
BE,-2.9924207361306
SX,0.44330134666643206
LS,1.9907039979852124
ES,-2.3920644728260751
KS,-1.318766823395
GR,-1.7637822017691358
BY,-2.8763456258831375
NP,-2.3129987842617781
SM,-0.25167579543943608
MK,-1.6812416306318894
PP,-1.5107284882994894
SF,-3.07788375912744
SW,-3.043231842998201
MC,-2.0139313016426161
MZ,-2.1215091737141889
MJ,-1.3396107204037393
BR,-2.0432935696198067
CS,-2.0377309740341492
