FIPS,EventRootCode,f0_
TU,05,0.6414694022187204
JO,05,0.1008745203233733
SC,05,2.5671146023722482
GP,05,-0.57200386782264334
PC,05,-1.61927872183826
BO,05,0.5509054009667651
UG,05,-0.69545565800440945
ML,05,0.018049020560137932
BU,05,-0.25074719187348771
SA,05,1.3540682008035381
PE,05,-0.36000520525068375
RB,05,0.43964986263772277
SZ,05,-1.7361515771977032
SO,05,-0.90894075329209822
EI,05,-0.17636112435756648
TT,05,1.6954084056393874
SU,05,-1.0132841937525348
SW,05,-0.68064858738602274
LS,05,1.1468111993574064
MJ,05,0.3000259032853746
HK,05,-0.6317861060769977
CG,05,-0.44752547131134407
ZA,05,1.2815641146873511
BR,05,-0.46231096951898615
MP,05,-0.642535061033512
BE,05,-1.4861029799234555
PL,05,0.15801418603826362
CK,05,-0.93397333356645218
IC,05,-1.029078660080839
KS,05,0.14824451181362774
PM,05,-0.37778211538949119
MN,05,-0.47816792722538815
MF,05,-0.66309481584420837
MB,05,-1.1819659464036372
GB,05,0.810696557667333
TH,05,-0.68749188287297425
MZ,05,-0.20559362165102898
CJ,05,1.1146232348357259
NZ,05,0.057493777181597518
ZI,05,-0.58288655333441575
NO,05,-1.1154566421045624
BG,05,-0.31907203205520412
CU,05,-0.2780156891292333
UP,05,-0.37530029334018949
VM,05,2.1755587269333265
AJ,05,0.69030548643805123
CS,05,-0.64395018055831121
NS,05,0.094092793333257638
MY,05,-1.1000156425878906
AQ,05,0.63652360142580522
MA,05,0.7392971635155865
SL,05,0.26102541577161903
CF,05,-0.76949060777607436
ST,05,2.1138417654974426
AL,05,0.28839151396018831
IZ,05,-0.59611807243912229
TO,05,-0.37857052374377576
BC,05,0.25888207858490975
VQ,05,-0.22175404061582049
ID,05,1.3080297962655951
BY,05,-1.4880459637304007
ET,05,0.09033869828201424
CA,05,-0.83459515980102927
SI,05,-1.1789079068758295
JA,05,-1.0366862663981851
LU,05,-1.1678752102186298
GT,05,-0.99267971131759758
IT,05,0.48396593140417882
LI,05,1.6410086926908318
AV,05,3.0390923759837634
JM,05,0.6573903020075873
GL,05,0.2329868759869704
FM,05,3.7700821733962009
GM,05,-1.0216173169472238
CV,05,0.79674956743798553
CD,05,-0.65533744139398964
JE,05,-1.7035904662093673
QA,05,0.059144279464323442
CE,05,0.11492031520549348
MH,05,0.99019134664321218
NI,05,0.0951779489021443
MO,05,-0.156817277580108
CW,05,2.3316638362176429
UZ,05,1.1958861225457746
BD,05,1.5317860143486324
EZ,05,-1.0942391453955997
GY,05,-0.49981172093008985
TK,05,1.1708396481683081
BX,05,0.62302124558828675
IV,05,1.0483037591174222
BL,05,-0.71835511505046634
AU,05,-0.67335967718635736
YM,05,-0.22570959096607604
KU,05,0.58553585207700032
MX,05,-0.094994870917988389
MG,05,2.1738199045997142
AN,05,1.277313093059069
WA,05,0.073492227604569429
AA,05,2.6171622400842756
MC,05,-0.25103602403383957
TV,05,-1.0461480922429041
SX,05,0.91922524693704177
PP,05,0.73900180449230835
TP,05,1.7279909444795394
KV,05,0.86047018580632073
DA,05,-1.1443408016603236
GJ,05,2.6635772990860396
NE,05,-0.95644813508833448
UY,05,-0.76406249406883819
TS,05,-0.31172512729029567
IO,05,-0.23098886776756086
HU,05,0.10729858393005356
CB,05,-0.21892310475640689
GA,05,2.0803915932927395
BM,05,-0.61260613061409785
RW,05,0.72303404425562168
US,05,-1.0819104257006018
AO,05,0.89867817682190454
IM,05,1.2777561350263222
TX,05,4.0285480506167248
FP,05,1.2036549937412671
AG,05,-0.39700464597219193
PK,05,-0.73102284998281875
RQ,05,-0.18266345621705635
BK,05,0.49336880690644763
SE,05,1.6340564846360999
BF,05,1.1319627308243785
BA,05,3.2953355108544073
KN,05,-1.8533691485557111
WZ,05,1.6735825292213848
AF,05,-0.89678281423783623
CM,05,-1.1219710042641802
WE,05,1.21215030489224
PO,05,0.11689162241053963
AS,05,-0.69476972684029281
OD,05,0.021026949347156723
SN,05,-0.45876586094297911
TI,05,0.46635597903838516
FO,05,1.9942783000265585
DO,05,3.4140127847225341
RE,05,-1.4959169428917209
ES,05,-0.24053062750089771
WS,05,0.26531375086236114
VE,05,-0.34736494090186576
BP,05,2.1489569933675625
LO,05,-0.554779790975395
RI,05,1.4635272465715252
RP,05,-0.55546273025634885
GI,05,1.2825902002871281
KZ,05,0.72782845894145021
MU,05,0.78959643894996989
SM,05,1.5357365919227346
SH,05,2.1617673544817722
NG,05,0.73325800387512152
SF,05,-1.1919758291274054
UK,05,-0.45236782926622709
UV,05,0.63625199315457936
BT,05,2.2908400054060936
GH,05,0.80123315570667553
MD,05,0.20266113723453105
CI,05,-0.74246289971742363
KE,05,-0.86224925930535312
IN,05,-0.35094381767682753
NU,05,0.725453308253835
HO,05,-0.040354714273173158
CH,05,0.84529029380490472
FR,05,-1.4792755054748481
LG,05,0.096823873550958214
BH,05,0.93130487269808615
VT,05,0.68054064317745644
CO,05,-0.14494651062510103
MV,05,-1.310085536156447
TD,05,0.88625745967165936
TN,05,1.7719416574812388
AR,05,-0.4911237442527614
LE,05,-1.1681018989800935
ER,05,0.66080548221090463
PU,05,0.972620281948866
IR,05,-1.5593723797186645
BN,05,0.67609972594504408
VI,05,0.82515898449598313
GV,05,0.29179890433763661
CT,05,-1.0690371828126204
LY,05,-0.0010794718249181809
HR,05,0.24762852884410358
TW,05,-0.69509816765072108
LH,05,0.47798397318859048
AE,05,2.0150865561979403
RO,05,0.044183414988216416
HA,05,0.094697526396447448
MK,05,0.49562938330771522
PA,05,-0.38686600213970634
RS,05,-0.82054458441001354
TZ,05,0.64135990444936253
GR,05,-0.4138105281130488
AM,05,0.413846409819579
IS,05,-0.40329386427600122
EG,05,0.62036238966408375
EN,05,0.40924789869534062
MI,05,0.71370563286834254
KG,05,1.0570603483663519
GG,05,1.462674779604217
DR,05,0.41505681550742118
LA,05,3.6646107881435608
VC,05,2.90680249475101
MT,05,-0.16406024413865891
CY,05,0.0808247286450729
CN,05,0.62471273133679139
SP,05,-0.32654004100930611
MR,05,0.17559588925488481
NP,05,-0.28544197974708568
AC,05,0.82623686233769911
LT,05,0.50497674191587028
FI,05,0.093262798638118274
NC,05,0.91400975030006726
EC,05,-0.32848134244674521
TL,05,1.26849894291754
BB,05,0.84901651338860029
GQ,05,-0.13423806269470973
DJ,05,2.4472043249064219
SY,05,-1.4258299454910288
SG,05,-0.27828443120546348
FJ,05,2.0044526734329389
OS,05,1.7459537780827004
NL,05,-0.5187607538757455
GH,06,-1.1036065314889667
TV,06,-2.49626870575984
BB,06,-0.416892851398662
WZ,06,0.097232474369466762
SW,06,-2.2904668846626244
BG,06,-1.8616106922058362
VQ,06,-1.3447616810358547
BM,06,-1.505916284977123
MH,06,0.040000506822444978
SE,06,-0.11316415405846281
FJ,06,0.95790653439737561
SI,06,-1.0347152357016809
PP,06,-1.539367193481797
AG,06,-1.3962653157968354
HR,06,-0.74202211615655611
GG,06,0.6164961125786117
AR,06,-1.3201460203382231
MV,06,-1.9285363511056879
WA,06,-1.1297932322778608
BE,06,-2.1446465413231457
EG,06,-1.197589111560166
SU,06,-2.5154856822181677
CY,06,-1.0586131002671848
GT,06,-2.0556443781137315
EI,06,-1.2429591189104467
MN,06,-1.4799278452076245
BL,06,-1.4373387789040841
MZ,06,-1.6313320031523029
JA,06,-1.4449527922747725
PC,06,-2.6922485696821141
UG,06,-1.8930512572286231
LS,06,0.091882021580733622
CA,06,-1.8439524898817277
MT,06,-1.5190828457289647
ML,06,-1.2526204906968148
SO,06,-2.5486830921474497
CB,06,-1.2903033348981052
TZ,06,-0.46919146461238515
VI,06,-0.021450596951213503
CE,06,-0.68037639908377934
TL,06,1.87891440501044
RO,06,-0.911384059366623
NZ,06,-1.0221299451248516
CM,06,-2.02801313560545
TT,06,1.1954095350276757
NO,06,-1.8674297218090985
TU,06,-1.3875706570391173
BR,06,-0.86724680933188447
SF,06,-1.7060341257739735
TK,06,-1.8592625476386402
ZI,06,-1.5387371496779956
BO,06,-0.51773241148155025
LA,06,2.04104891646226
ET,06,-0.61145178894741914
OS,06,0.96299250060666786
AV,06,2.0919093458007465
IS,06,-2.5983760622720169
GB,06,-0.55934063775247156
SP,06,-1.0319768425411753
SN,06,-1.4168940272925212
JM,06,-0.54295291669227419
CS,06,-1.3758676961976479
MO,06,-0.14666670469341478
IT,06,-0.63866347798069356
SG,06,-1.271853851738544
AN,06,0.50186959426524291
IV,06,-0.6316645791350447
IC,06,-1.0525080179023842
EZ,06,-1.7052359091536511
OD,06,-1.841472377607817
TP,06,0.4591466221595773
CV,06,-0.047985600952967312
TD,06,-1.1641160765537484
RP,06,-1.6934439812582684
EC,06,-1.1718778508500778
MG,06,0.085034191524971436
RI,06,0.020059598238521978
MF,06,-0.38659636596591584
MD,06,-0.52315482829741367
UK,06,-1.7199744353437911
BT,06,0.10039785481363071
DJ,06,0.77983176312950264
VE,06,-1.0792179939936484
MA,06,-0.6481273839765983
MP,06,-1.2073596191645406
GQ,06,-1.6439769546935623
AA,06,2.53456221198156
IM,06,-0.66507654995668064
LY,06,-2.1149516554454006
SX,06,0.18315355159928109
SH,06,-0.40985694580256937
CJ,06,-0.72827700800104045
SY,06,-2.660481771598735
LI,06,0.0023100853768875766
FR,06,-1.9328858538025215
CU,06,-1.3246795387635895
HK,06,-1.5835146773388171
IR,06,-2.1643529680824654
ID,06,-1.1885547281546325
KN,06,-2.3751079070946237
TI,06,-1.0135194683101549
CH,06,-0.46486837852282153
ST,06,0.24610219324753022
KU,06,-1.4247517824208924
HU,06,-0.50012298552116541
KE,06,-1.746066098761631
TH,06,-1.4105637101339457
CG,06,-1.4102429219221155
FI,06,-1.3523036057180071
CW,06,0.84145464358184341
ZA,06,-0.288369100109703
ES,06,-1.7021053067202268
TO,06,-1.3569620328006398
RS,06,-1.8391848674517588
GV,06,-0.64261960377112426
MU,06,-1.0172747565078089
MY,06,-1.6846116186974407
LO,06,-1.8644086986484341
AL,06,-1.91572853454365
ER,06,-1.792920785346382
CF,06,-1.6425641601614933
CO,06,-1.47454934107093
CD,06,-1.3959350132749073
NE,06,-2.65465209475362
GA,06,-0.6064494940107964
NU,06,-1.0376502586968592
DR,06,-1.0393388828378858
EN,06,-0.66090516198243121
IN,06,-1.6000976599101515
AM,06,-0.89422593843420151
WS,06,-1.0475401735337881
BK,06,-0.77839429147444383
CK,06,-1.9057370627752255
NL,06,-1.3145186776104576
SA,06,-1.1463254242629064
LU,06,-1.595220712100158
NG,06,-0.72203211066810435
AS,06,-1.5478773383071656
PO,06,-0.67558749081575808
RB,06,-0.75365517391199166
QA,06,-1.678030645799873
SZ,06,-2.4074674651213614
BN,06,-0.54039383656742435
IO,06,-0.49801267023459067
PA,06,-1.2483012471118986
BH,06,-0.6804808252697091
NC,06,-0.5737572226429678
GY,06,-1.6422288425644591
TS,06,-1.324720060472542
RW,06,-0.396538312582287
AC,06,-0.46609328737028533
YM,06,-2.007607334786023
PM,06,-1.3955932911802618
JO,06,-1.0375297735232647
KG,06,-0.56980667323123391
AE,06,0.21776107432082437
BC,06,-0.57153282431886676
BF,06,-0.528660673912155
BX,06,-0.89526757796574863
MC,06,-0.89459342469517489
MK,06,-0.8822680534463252
LT,06,-0.704259065950875
MX,06,-1.38237964639594
CT,06,-1.8820985324739892
LE,06,-2.5031135487955076
FP,06,-0.453871155063839
BP,06,1.055589309006755
SM,06,-0.02398750231200706
NI,06,-1.5041125269021107
KV,06,-1.7202898924268217
AO,06,-0.2612794589765306
TX,06,1.807474921844672
KS,06,-0.83265101926194485
JE,06,-2.5627512617767327
NS,06,-0.77790189387432329
AF,06,-2.20844716613296
PU,06,-4.376606451318227
BY,06,-2.2004106249588751
SL,06,-1.261006691330625
GI,06,0.3064302092050647
PK,06,-1.581826091840661
SC,06,1.1057230774188158
TN,06,1.402549614571168
UZ,06,-0.084549259556607373
KZ,06,-0.4313745807110505
DA,06,-1.7400260803750356
VM,06,0.43235638106918622
MR,06,-1.7120921603245745
HA,06,-1.6812244462966635
PL,06,-0.91893968070605281
UY,06,-1.0614467592785159
AJ,06,-0.65752280784769224
BU,06,-1.3972819841175605
NP,06,-1.0966461436895372
PE,06,-1.2655451887545979
GM,06,-1.228605277572719
VT,06,-1.3114167521068161
HO,06,-1.4784019194942128
BD,06,0.1583741451848501
VC,06,1.4193065859438803
GJ,06,1.1909386058753879
MB,06,-1.4427886726180748
AU,06,-1.8429106189979354
LG,06,-1.1451406667177673
TW,06,-1.9990248932055519
US,06,-2.0873571471481571
UV,06,-0.18768731882612122
GR,06,-1.2269167365131612
MJ,06,-1.1152507982210573
IZ,06,-2.2048558658038946
BA,06,-0.20698170579384889
CI,06,-1.6710729148327232
RQ,06,-1.303206614608049
LH,06,-1.3767272864142097
FM,06,3.823197046158878
MI,06,-1.1218820163084768
FO,06,1.9735243732611909
RE,06,-2.0796369724122221
CN,06,0.12004226813971854
UP,06,-1.5813777565172877
GL,06,-0.706066150307084
DO,06,2.168680179260134
OD,14,-4.1686365017621876
SZ,14,-4.2745182033078049
SA,14,-4.5499678117877522
IM,14,-2.1699332362852273
BU,14,-3.0226594735932655
MP,14,-3.0713742616819757
EN,14,-2.5896332597521807
TZ,14,-2.5343211004845148
IV,14,-2.969865198906092
LU,14,-3.9153946476922177
FR,14,-3.9464758796639088
AC,14,-2.874841815841886
BG,14,-4.437120991659234
CA,14,-3.7340050396770983
PO,14,-3.6444755325975184
NP,14,-4.45831962340494
BX,14,-4.3820208611859321
SF,14,-4.42566514819981
VI,14,-1.7563948363617463
TX,14,1.7378437753395739
AE,14,-2.7648052692639675
MV,14,-5.5458921205034013
NE,14,-4.88664192222092
YM,14,-4.024181039399811
GQ,14,-2.5347921139366951
RE,14,-3.7861079204314372
SM,14,-3.7014147295238278
CD,14,-4.0934951305114966
VQ,14,-1.5496940225061011
CT,14,-3.1751716720124921
GK,14,-2.48070043306345
SL,14,-2.844300715256558
RP,14,-3.5303110305138543
SP,14,-3.1043210817992275
CG,14,-3.0625026140509823
NL,14,-4.3769045279920036
CO,14,-3.8920380481556731
AN,14,-1.469788060082748
TI,14,-2.3032437205367335
TU,14,-5.10836321451466
LY,14,-4.4861830286206086
RO,14,-3.1412336241327927
LA,14,-3.9622788660587474
TD,14,-2.9661351511715921
RS,14,-3.3810026326976486
SH,14,3.1300412068231496
GT,14,-3.8524741891095564
CF,14,-3.52372537884591
RW,14,-3.4850464713184932
EZ,14,-3.2281548150056834
KE,14,-4.3375051463098986
FO,14,1.8716577540107
AM,14,-3.5189594296612223
CE,14,-3.8823838872423071
OS,14,1.3745767277204848
JE,14,-4.6182577808658962
GR,14,-3.1774046666431466
PP,14,-3.2287840651748021
HO,14,-3.8362515223677547
AL,14,-4.5025687786487714
PM,14,-3.7009234765398764
SI,14,-3.9319781627804624
SG,14,-3.0367818184241662
UV,14,-1.9714453751207
VE,14,-3.3367627571871692
MX,14,-3.1547343963521537
MA,14,-1.7788157664310982
MH,14,-1.6401153460103597
ZI,14,-4.1232800195545014
PC,14,-3.7175028742072791
HA,14,-2.7356067940072806
GG,14,-2.7400099966873834
BK,14,-4.7510728047115238
TV,14,-4.881976347595975
SW,14,-4.9450690351724438
NZ,14,-3.153074179851695
ER,14,-3.0444453796752597
LH,14,-3.4729237281706831
MU,14,-4.3205085135616157
PK,14,-5.0219451349496831
IO,14,-3.3531311895053051
GP,14,-6.95652173913044
GV,14,-2.8690309594730454
SC,14,-1.2973122426889905
VM,14,-1.9361053288475172
LG,14,-2.692253128754265
PL,14,-2.5290806042789837
MR,14,-3.8572110154195656
GH,14,-3.7642342045590129
LO,14,-3.8170169116604455
CI,14,-3.94766795746572
NI,14,-3.6195520374944983
ZA,14,-2.1310228416033103
PU,14,-5.1991663437033715
DR,14,-3.5689916430982973
BF,14,-0.68613205773410457
SO,14,-4.5231332879362354
MI,14,-3.0159493586162704
BC,14,-2.3834049024407915
MG,14,-1.8052105740071696
UY,14,-3.7242577201943559
UG,14,-4.4666892306429293
FI,14,-4.0744324043111311
BP,14,-0.50643651041956839
MJ,14,-3.2701452984695187
ES,14,-3.9072724586833041
