FIPS;Happiness_score
FI;7.632
NO;7.594
DK;7.555
IC;7.495
SZ;7.487
NL;7.441
CA;7.328
NZ;7.324
SW;7.314
AS;7.272
IS;7.190
AU;7.139
CS;7.072
EI;6.977
GM;6.965
BE;6.927
LU;6.910
US;6.886
UK;6.814
AE;6.774
EZ;6.711
MT;6.627
FR;6.489
MX;6.488
CI;6.476
TW;6.441
PM;6.430
BR;6.419
AR;6.388
GT;6.382
UY;6.379
QA;6.374
SA;6.371
SN;6.343
MY;6.322
SP;6.310
CO;6.260
TD;6.192
LO;6.173
ES;6.167
NU;6.141
PL;6.123
BA;6.105
UZ;6.096
KU;6.083
TH;6.072
IT;6.000
EC;5.973
BH;5.956
LH;5.952
SI;5.948
RO;5.945
LG;5.933
JA;5.915
MP;5.891
JM;5.890
KS;5.875
CY;5.835
RS;5.810
KZ;5.790
CY;5.762
BL;5.752
EN;5.739
PA;5.681
PE;5.663
KV;5.662
MD;5.640
TX;5.636
HU;5.620
LY;5.566
RP;5.524
HO;5.504
BO;5.483
TU;5.483
PK;5.472
HK;5.430
PO;5.410
RB;5.398
GR;5.358
TI;5.352
MJ;5.347
HR;5.321
DR;5.302
AG;5.295
MO;5.254
CH;5.246
AJ;5.201
LE;5.199
MK;5.185
JO;5.161
NI;5.155
KG;5.131
BK;5.129
MG;5.125
VM;5.103
ID;5.093
BT;5.082
SO;4.982
CM;4.975
BU;4.933
NP;4.880
VE;4.806
GB;4.758
GZ;4.743
SF;4.724
IR;4.707
IV;4.671
GH;4.657
SG;4.631
LA;4.623
TS;4.592
AL;4.586
SL;4.571
CF;4.559
BG;4.500
CE;4.471
IZ;4.456
ML;4.447
WA;4.441
CB;4.433
UV;4.424
EG;4.419
MZ;4.417
KE;4.410
ZA;4.377
MR;4.356
ET;4.350
GG;4.340
AM;4.321
MM;4.308
CD;4.301
CG;4.245
IN;4.190
NG;4.166
UG;4.161
BN;4.141
SU;4.139
UP;4.103
TO;3.999
GV;3.964
LT;3.808
AO;3.795
MA;3.774
ZI;3.692
AF;3.632
BC;3.590
MI;3.587
HA;3.582
LI;3.495
SY;3.462
RW;3.408
YM;3.355
TZ;3.303
;3.254
CT;3.083
BY;2.905